Hosts,Host,Role,Portfolio,Date,Subject,Lobby Organisation,id
Anna Herold,Anna Herold,Cabinet,Digital Economy,06/07/2015,Digital News initiative,Google,288
Maria Elena Scoppio,Maria Elena Scoppio,Cabinet,Economics & Tax,07/07/2015,present Google's point of view on the ongoing Commission's investigation,Google,287
Andras Inotai,Andras Inotai,Cabinet,Environment,07/07/2015,Google competition case,Google,285
Edward Bannerman,Edward Bannerman,Cabinet,Jobs & Growth,07/07/2015,Innovation and competition in the digital sector,Google,286
Carl-Christian Buhr,Carl-Christian Buhr,Cabinet,Agriculture,09/07/2015,"Google's informed about its views on the changing online landscape and the DSM, especially its actions regarding platforms",Google,283
Jon Nyman,Jon Nyman,Cabinet,Trade,09/07/2015,"Digital trade agenda, services trade, TiSA and TTIP negotiations.",Microsoft,284
Heidi Jern,Heidi Jern,Cabinet,Jobs & Growth,13/07/2015,Sharing Economy,Uber,282
Eduard Hulicius Simona Constantin,Eduard Hulicius,Cabinet,Justice,15/07/2015,Sharing economy and new business models opportunities,Uber,280
Eduard Hulicius Simona Constantin,Simona Constantin,Cabinet,Justice,15/07/2015,Sharing economy and new business models opportunities,Uber,281
Eduard Hulicius,Eduard Hulicius,Cabinet,Justice,16/07/2015,Digital single market and consumer protection online,Amazon,278
Commissioner Věra Jourová,Věra Jourová,Commissioner,Justice,16/07/2015,Digital single market and consumer protection online,Amazon,279
Michael Hager,Michael Hager,Cabinet,Digital Economy,22/07/2015,European Interoperability Framework,Microsoft,277
Jan Ceyssens Raquel Lucas,Jan Ceyssens,Cabinet,Euro,30/07/2015,Digital Single Market,Google,275
Jan Ceyssens Raquel Lucas,Raquel Lucas,Cabinet,Euro,30/07/2015,Digital Single Market,Google,276
Eric Mamer,Eric Mamer,Cabinet,Digital Economy,26/08/2015,DSM,Amazon,274
Alfredo Sousa De Jesus,Alfredo Sousa De Jesus,Cabinet,Research,04/09/2015,DSM,Microsoft,273
Kaius Kristian Hedberg Rolf Carsten Bermig,Kaius Kristian Hedberg,Cabinet,Internal Market,07/09/2015,Digital Single Market-related policies,Microsoft,271
Kaius Kristian Hedberg Rolf Carsten Bermig,Rolf Carsten Bermig,Cabinet,Internal Market,07/09/2015,Digital Single Market-related policies,Microsoft,272
Director-General Dominique Ristori,Dominique Ristori,Director-General,Energy Union,10/09/2015,European energy policies,Google,269
Vice-President Jyrki Katainen,Jyrki Katainen,Vice-President,Jobs & Growth,10/09/2015,Digital Single Market,Uber,270
Kaius Kristian Hedberg,Kaius Kristian Hedberg,Cabinet,Internal Market,11/09/2015,Future policy actions,Google,268
Head of the EPSC Ann Mettler,Ann Mettler,Head of the EPSC,Presidency,11/09/2015,Collaborative economy,Uber,267
Juergen Mueller Aurore Maillet,Aurore Maillet,Cabinet,Environment,14/09/2015,Circular economy package,Apple,262
Director-General Daniel Calleja Crespo,Daniel Calleja Crespo,Director-General,Environment,14/09/2015,Ciruclar Economy,Apple,263
Juergen Mueller Aurore Maillet,Juergen Mueller,Cabinet,Environment,14/09/2015,Circular economy package,Apple,264
Commissioner Karmenu Vella,Karmenu Vella,Commissioner,Environment,14/09/2015,Circular Economy,Apple,265
Rolf Carsten Bermig,Rolf Carsten Bermig,Cabinet,Internal Market,14/09/2015,Apple's environmental initiatives and circular economy package,Apple,266
Head of the EPSC Ann Mettler,Ann Mettler,Head of the EPSC,Presidency,14/09/2015,Sustainable and social initiatives,Apple,261
