,code_circo,Suppléant,Titulaire,code_dpt,circo
502,92_6,Adeline Chenon Ramlat,Josué Hantoni de Biasi,92,6
504,92_8,Henri Borsenberger,Annette Benmussa,92,8
505,92_9,Gregory François,CHRISTEL MILHAVET,92,9
506,93_1, ,Eric Coquerel,93,1
507,93_10,Joseph Pace,Ambre Froment,93,10
511,93_3,Mathieu Vallet,Dominique Delaunay,93,3
513,93_5,Rozenn Gueguen Caruso,Ugo Portier,93,5
515,93_7,Corinne Benabdallah,Alexis Corbière,93,7
516,93_8,Heloise Joly,Maxence Albespy,93,8
517,93_9,Charles Alonso,Sabine Rubin,93,9
518,94_1,Claire Giardelli,Thierry N'kaoua,94,1
519,94_10,Mourad Tagzout,Mathilde Panot,94,10
520,94_11,Soulef Bergougnoux,Djamel Arrouche,94,11
521,94_2, ,François Cocq,94,2
522,94_3,Jocelyne Pigrée,Nicolas Georges,94,3
523,94_4,Martial Prouheze,Nathalie Lemaire,94,4
524,94_5,Jeremy Boucher,Raphaëlle Martinez,94,5
525,94_6,Vianney Orjebin,Stéphanie Michel,94,6
526,94_7, ,Kévin DALLA FRANCESCA,94,7
527,94_8,Amélie Bellaud,Renaud Pequignot,94,8
528,94_9,Patrick Pérez Sécheret,Martine Lachaud,94,9
529,95_1, ,Romain Renou,95,1
530,95_10,Gérard Januario,Katia Noin Ledanois,95,10
531,95_2,Elliott Bareau,Sylvie Geoffroy-Martin,95,2
532,95_3,Sébastien Davignon,"Maryline Lavabre (candidate suppléante, validation en cours)",95,3
533,95_4,Brice Errandonea,Cathy Pinheiro,95,4
534,95_5,Stéphane Steunou,Françoise Stiegler,95,5
535,95_6,Johanne Labellé,Serge Grossvak,95,6
536,95_7,Marie Laure Joëlle Olmeta,Gilles Monsillon,95,7
537,95_8,Elisée Fernandez,Pamela Hocini,95,8
538,95_9,Christian Guéry,Rabha Belbachir,95,9
540,971_2,Christèle Roussel,Michel Tola,971,2
542,971_4,Nice Cambronne,Guilhem SALTEL,971,4
551,974_3,Pascal Basse,Virginie Grondin,974,3
552,974_4,Didier Migneau,Corine Bédier,974,4
553,974_5, ,Denise Delavanne,974,5
554,974_6,Marie-Josianne Lagrange,Pascal Hoareau,974,6
555,974_7,Sandra Gence,Perceval GAILLARD,974,7
