code_circo,code_dpt,circo,departement,candidat,genre,site
13_5,13,5,Bouches-du-Rhône,Jean-François LUC,H,https://fnlegislatives.fr/candidats/jean-francois-luc/
93_5,93,5,Seine-Saint-Denis,Jean-François PERIER,H,https://fnlegislatives.fr/candidats/jean-francois-perier/
974_3,974,3,La Réunion,Jean-Hugues LEBIAN,H,https://fnlegislatives.fr/candidats/jean-hugues-lebian/
50_4,50,4,Manche,Jean-Jacques NOËL,H,https://fnlegislatives.fr/candidats/jean-jacques-noel/
13_12,13,12,Bouches-du-Rhône,Jean-Lin Lacapelle,H,https://fnlegislatives.fr/candidats/jean-lin-lacapelle/
78_12,78,12,Yvelines,Jean-Luc GALLAIS,H,https://fnlegislatives.fr/candidats/jean-luc-gallais/
44_9,44,9,Loire-Atlantique,Jean-Luc JAVEL,H,https://fnlegislatives.fr/candidats/jean-luc-javel/
999_2,999,2,Français établis hors de France,Jean-Marc Millet,H,https://fnlegislatives.fr/candidats/jean-marc-millet/
73_2,73,2,Savoie,Jean-Marie GARCIN,H,https://fnlegislatives.fr/candidats/jean-marie-garcin/
77_11,77,11,Seine-et-Marne,Jean-Marie LAUNAY,H,https://fnlegislatives.fr/candidats/jean-marie-launay/
69_7,69,7,Rhône,Jean-Marie NICOLAS,H,https://fnlegislatives.fr/candidats/jean-marie-nicolas/
95_6,95,6,Val-d'Oise,Jean-Michel DUBOIS,H,https://fnlegislatives.fr/candidats/jean-michel-dubois/
64_5,64,5,Pyrénées-Atlantiques,Jean-Michel Iratchet,H,https://fnlegislatives.fr/candidats/jean-michel-iratchet/
39_1,39,1,Jura,Jean-Paul ECARD,H,https://fnlegislatives.fr/candidats/jean-paul-ecard/
59_14,59,14,Nord,Jean-Paul Tisserand,H,https://fnlegislatives.fr/candidats/jean-paul-tisserand/
974_1,974,1,La Réunion,Jean-Pierre Céleste,H,https://fnlegislatives.fr/candidats/jean-pierre-celeste/
73_1,73,1,Savoie,Jean-Pierre CHAUVEAU,H,https://fnlegislatives.fr/candidats/jean-pierre-chauveau/
999_7,999,7,Français établis hors de France,Jean-Pierre Hottinger,H,https://fnlegislatives.fr/candidats/jean-pierre-hottinger/
971_3,971,3,Guadeloupe,Jean-Pierre MERCADAL,H,https://fnlegislatives.fr/candidats/jean-pierre-mercadal/
90_2,90,2,Territoire de Belfort,Jean-Raphaël SANDRI,H,https://fnlegislatives.fr/candidats/jean-raphael-sandri/
79_2,79,2,Deux-Sèvres,Jean-Romée CHARBONNEAU,H,https://fnlegislatives.fr/candidats/jean-romee-charbonneau/
45_5,45,5,Loiret,Jeanne BEAULIER,H,https://fnlegislatives.fr/candidats/jeanne-beaulier/
94_4,94,4,Val-de-Marne,Jérôme AUVRAY,H,https://fnlegislatives.fr/candidats/jerome-auvray/
01_1,1,1,Ain,Jérôme Buisson,H,https://fnlegislatives.fr/candidats/jerome-buisson/
06_2,6,2,Alpes-Maritimes,Jérôme Cochet,H,https://fnlegislatives.fr/candidats/jerome-cochet/
63_5,63,5,Puy-de-Dôme,Jérôme Jayet,H,https://fnlegislatives.fr/candidats/jerome-jayet/
83_6,83,6,Var,Jérôme RIVIÈRE,H,https://fnlegislatives.fr/candidats/jerome-riviere/
87_2,87,2,Haute-Vienne,Joëlle Crepet,F,https://fnlegislatives.fr/candidats/joelle-crepet/
77_5,77,5,Seine-et-Marne,Joffrey BOLLÉE,H,https://fnlegislatives.fr/candidats/joffrey-bollee/
974_4,974,4,La Réunion,Johan DELPLANQUE,H,https://fnlegislatives.fr/candidats/johan-delplanque/
93_12,93,12,Seine-Saint-Denis,Jordan BARDELLA,H,https://fnlegislatives.fr/candidats/jordan-bardella/
88_4,88,4,Vosges,Jordan Grosse-Cruciani,H,https://fnlegislatives.fr/candidats/jordan-grosse-cruciani/
18_3,18,3,Cher,Jordan LE GOÏC,H,https://fnlegislatives.fr/candidats/jordan-le-goic/
62_3,62,3,Pas-de-Calais,José EVRARD,H,https://fnlegislatives.fr/candidats/jose-evrard/
64_2,64,2,Pyrénées-Atlantiques,Joseph DAMOUR,H,https://fnlegislatives.fr/candidats/joseph-damour/
67_2,67,2,Bas-Rhin,Julia Abraham,F,https://fnlegislatives.fr/candidats/julia-abraham/
92_11,92,11,Hauts-de-Seine,Julia CARRASCO,F,https://fnlegislatives.fr/candidats/julia-carrasco/
59_4,59,4,Nord,Julien FRANQUET,F,https://fnlegislatives.fr/candidats/julien-franquet/
31_5,31,5,Haute-Garonne,Julien Leonardelli,F,https://fnlegislatives.fr/candidats/julien-leonardelli/
89_3,89,3,Yonne,Julien ODOUL,F,https://fnlegislatives.fr/candidats/julien-odoul/
74_6,74,6,Haute-Savoie,Karam Aoun,H,https://fnlegislatives.fr/candidats/karam-aoun/
94_7,94,7,Val-de-Marne,Karine HACCART,F,https://fnlegislatives.fr/candidats/karine-haccart/
62_8,62,8,Pas-de-Calais,Karine Haverlant,F,https://fnlegislatives.fr/candidats/karine-haverlant/
68_3,68,3,Haut-Rhin,Katia Di Leonardo,F,https://fnlegislatives.fr/candidats/katia-di-leonardo/
61_3,61,3,Orne,Katia FRÉMONT,F,https://fnlegislatives.fr/candidats/katia-fremont/
57_7,57,7,Moselle,Kevin PFEFFER,H,https://fnlegislatives.fr/candidats/kevin-pfeffer/
78_5,78,5,Yvelines,Laurence BAUDRILLARD,F,https://fnlegislatives.fr/candidats/laurence-baudrillard/
57_1,57,1,Moselle,Laurence BURG,F,https://fnlegislatives.fr/candidats/laurence-burg/
09_1,9,1,Ariège,Laurence LEFORT,F,https://fnlegislatives.fr/candidats/laurence-lefort/
67_9,67,9,Bas-Rhin,Laurent Gnaedig,H,https://fnlegislatives.fr/candidats/laurent-gnaedig/
33_8,33,8,Gironde,Laurent Lamara,H,https://fnlegislatives.fr/candidats/laurent-lamara/
