code_circo,Titulaire,TG,Suppléant,SG,code_dpt,circo
67_3,Floriane Dupré,F, ,,67,3
67_4,Albert Schwartz,H, ,,67,4
67_5,Janig TERRIER,F,Olivier Raoulx,H,67,5
67_6,Denis Gadot,F,Christelle Gleitz,F,67,6
67_7,Peter Andersen,F,Christine Strande,F,67,7
67_8,Manuel Ménétrier,F,Sandrine Finck,F,67,8
67_9,Leila Witzmann,H, ,,67,9
68_1,Guillaume Pernot,F,Anne-Marie Salomon,F,68,1
68_2,Christelle Rillet,F, ,,68,2
68_3,Marianne Berçot,F,Patrice Weigel,H,68,3
68_4,Gabriel WEISSER,H, ,,68,4
68_5,Geneviève ENGGASSER,F,Jean-Claude VAL,H,68,5
68_6,Philippe DUFFAU,H,Elena Andrioli,F,68,6
69_1,Elliott Aubin,H,Michèle LE DILY,F,69,1
69_10,Olivier Daudé,H,Brigitte Bonnetain,F,69,10
69_11,Christine Valentin,H,Fabrice NOTO,H,69,11
69_12,Eloi Navarro,H,Brigitte Gillet Chanel,F,69,12
69_13,Laure Lebaron,F,Roland Pacaud,H,69,13
69_14,Benjamin Nivard,H, ,,69,14
69_2,Eleni Ferlet,F,Basile Marti,H,69,2
69_3,Pascal Le Brun,H,Nicole BEN AYOUN,F,69,3
69_4,Anne Fontenille,F,Julien Ravello,H,69,4
69_5,Céline BERNARDI,F,Michel Poulain,H,69,5
69_6,Laurent Legendre,H,Céline Fratczak,F,69,6
69_7,Andréa Kotarac,F,Sophie Charrier,F,69,7
69_8,Pascale Cernicchiaro,F,Fabien De Marchi,H,69,8
69_9,,,,,69,9
70_1,François Froidurot,H,Elisabeth Faivre Morel,F,70,1
70_2,Isabelle Haismann-Febvay,F,David Dornier,H,70,2
71_1,Patricia Baci,F,Pierre FUENTES-EXPOSITO,H,71,1
71_2,Philippe Bonnot,H,Jacqueline Bramant,,71,2
71_3,Pierre Aceituno,H, ,,71,3
71_4,Michèle Chambon,F,Alexandre Guechi,H,71,4
71_5,Laura Léger,F,Eric Riboulet,H,71,5
72_1,Loïc Morisot,H,Evelyne Maillard,F,72,1
72_2,Matthias Tavel,H,Alima Arouali,F,72,2
72_3,Barbara Deboeuf,F,Philippe Palisse,H,72,3
72_4,Pascale Fromentière,F,Eric Jamet,H,72,4
72_5,Luc-marie FABUREL,H,Salima Guédouar,F,72,5
73_1,Thierry Bonnamour,F,Sophie Jégonday,H,73,1
73_2,Yamen Adissa,H,Viviane Nogues,F,73,2
73_3,Alexandre Roux,H, ,,73,3
73_4,Tifen Ducharne,F,Hugues Grimberg,H,73,4
74_1,Julian Augé,H,Margaux Lagay,F,74,1
74_2,Anne-Marie Amphyon,F,Yann Burguere,H,74,2
74_3,Jacques Cambon,H,Nawal Jos,F,74,3
74_4,Véronique Jacob,F,Cemil Sanli,H,74,4
74_5,Marin Dauriat,H,Isabelle Naïm Christin,F,74,5
74_6,,,,,74,6
75_1,Patrick Comoy,H,Fabienne Loup,F,75,1
75_10,Leila Chaibi,F,Philippe Navarre,H,75,10
75_11,Jean Pierre Coulomb,H,Dominique Mesfioui,F,75,11
75_12,Patrick Lefrançois,H,Françoise Giboteau,F,75,12
75_13,Magalhy Berto,F,Yazid Arifi,H,75,13
75_14,,,,,75,14
75_15,MEHDI KEMOUNE,H,Isabelle Leparcq,F,75,15
