BUREAU DE VOTE,DEPARTEMENT,ARNAUD MONTEBOURG,MARTINE AUBRY,JEAN-MICHEL BAYLET,MANUEL VALLS,FRANCOIS HOLLANDE,SEGOLENE ROYAL,VOTES BLANCS,VOTES NULS
950107,95,12,47,0,6,70,15,0,2
950108,95,26,74,2,15,89,15,1,1
950109,95,27,104,1,21,97,13,0,3
950110,95,11,95,2,5,111,25,3,0
950111,95,68,81,3,23,109,25,0,0
950112,95,74,152,0,32,171,28,0,0
950113,95,95,154,11,53,182,28,2,1
950114,95,76,162,1,30,162,25,0,1
950115,95,76,162,1,30,162,25,0,0
950116,95,15,24,0,11,31,5,1,0
950117,95,19,38,0,7,42,19,0,0
950118,95,31,62,1,10,79,11,0,0
950119,95,46,130,1,28,121,22,0,2
950120,95,44,84,0,12,129,15,0,0
950121,95,49,97,1,12,119,21,0,0
950122,95,42,74,1,13,66,13,0,0
950123,95,47,121,3,24,160,27,0,2
950124,95,36,88,0,3,78,16,0,4
950125,95,8,33,0,4,33,12,0,1
950126,95,5,26,0,2,30,9,0,0
950127,95,51,105,4,19,133,22,0,1
950128,95,99,150,0,26,171,38,0,1
950129,95,49,105,0,33,154,31,1,1
950130,95,80,147,1,46,185,29,1,0
950131,95,36,95,1,14,102,22,0,0
950132,95,122,221,1,51,255,46,0,1
9710001,971,5,22,2,6,53,26,0,0
9710002,971,7,12,0,0,35,9,0,0
9710003,971,1,11,0,0,27,3,1,0
9710004,971,2,3,0,0,26,1,3,0
9710005,971,0,3,0,0,7,0,0,0
9710006,971,2,16,1,2,29,17,0,0
9710007,971,9,10,0,1,21,5,0,0
9710008,971,1,6,0,0,31,7,0,0
9710009,971,4,6,0,1,9,7,1,1
9710010,971,4,16,0,0,15,10,0,0
9710011,971,21,36,0,7,107,19,1,1
9710012,971,4,15,0,0,38,8,1,2
9710013,971,5,14,0,1,166,24,0,1
9710014,971,9,15,0,2,132,22,3,2
9710015,971,6,9,0,3,154,11,0,0
9710016,971,2,14,1,1,69,11,0,0
9710017,971,0,7,0,0,47,6,0,0
9710018,971,1,1,1,1,14,2,0,0
9710019,971,2,10,0,0,108,4,0,0
9710020,971,0,3,1,0,6,2,0,0
9710021,971,1,7,0,1,19,17,0,0
9710022,971,4,10,2,1,30,4,0,1
9710023,971,1,10,2,1,37,6,0,0
9710024,971,18,34,0,1,57,17,1,0
9710025,971,16,26,0,3,49,13,0,1
9710026,971,7,21,0,3,23,10,1,1
9710027,971,5,5,0,3,15,10,0,0
9710028,971,0,4,0,0,13,1,0,0
9710029,971,0,7,0,2,14,3,1,1
9710030,971,5,19,0,0,74,8,0,0
9710031,971,8,13,0,3,46,8,0,1
9710032,971,1,4,0,0,25,8,0,0
9710033,971,1,13,0,0,35,7,0,0
9710034,971,1,1,0,0,15,3,0,0
9710035,971,3,4,0,1,53,9,0,1
9710036,971,4,24,0,4,134,24,0,0
9710037,971,6,19,0,2,34,9,0,0
9710038,971,2,7,1,0,5,4,0,0
9710039,971,3,8,0,0,18,10,0,1
9710040,971,0,1,0,0,3,1,0,0
9710041,971,1,4,0,0,4,1,0,0
9710042,971,22,58,0,4,106,25,0,0
9710043,971,2,38,1,1,39,5,0,2
9710044,971,1,14,1,1,18,1,0,0
9710045,971,6,8,0,2,21,0,0,0
9710046,971,2,5,0,0,4,1,2,2
9710047,971,4,19,0,1,45,5,0,0
9710048,971,13,24,0,3,85,5,0,1
9710049,971,5,8,0,1,20,2,0,0
9710050,971,23,51,0,2,158,22,0,2
9710051,971,3,29,0,1,47,13,0,0
9710052,971,2,4,0,1,26,4,0,1
9710053,971,1,4,0,0,18,4,0,1
9710054,971,1,12,0,2,71,4,4,1
9710055,971,4,10,2,3,85,29,0,0
9710056,971,12,26,1,0,93,12,1,0
9710057,971,3,8,0,0,105,6,0,0
9710058,971,0,2,0,0,61,4,0,0
9710059,971,3,4,0,0,114,2,0,0
9710060,971,1,6,0,0,68,3,0,0
9710061,971,10,9,0,2,43,9,0,0
9710062,971,0,4,0,0,38,5,0,0
9710063,971,11,24,1,4,56,16,0,1
9710064,971,0,9,0,0,17,9,1,0
9710065,971,2,10,1,0,27,14,0,0
9710066,971,1,9,0,0,26,13,0,0
9710067,971,24,34,4,8,91,24,0,1
9710068,971,3,5,0,0,12,7,0,0
9710069,971,0,7,0,2,37,8,0,1
9710070,971,2,21,0,1,36,2,0,0
9710071,971,5,2,1,0,29,3,0,0
9710072,971,3,32,0,0,22,4,1,0
9710073,971,2,5,0,0,14,5,0,0
9720002,972,9,14,0,1,23,13,0,0
9720003,972,1,5,0,2,24,8,0,1
9720004,972,4,23,0,0,50,10,0,0
9720007,972,17,28,0,3,38,21,0,0
9720008,972,19,24,0,3,71,7,0,0
9720009,972,11,44,0,2,100,18,0,1
9720010,972,13,36,0,3,124,20,0,1
9720011,972,49,55,1,10,151,38,0,0
9720012,972,13,19,2,3,86,16,0,0
9720014,972,3,15,0,3,40,8,0,0
9720015,972,12,22,0,2,90,22,1,2
9720016,972,0,8,1,0,28,1,0,0
9720018,972,10,26,0,1,51,27,0,1
9720020,972,11,23,0,4,57,11,0,1
9720021,972,6,11,0,1,52,12,0,0
9720022,972,4,3,0,0,8,9,0,0
9720023,972,3,3,0,0,12,4,0,0
9720024,972,11,11,0,1,59,7,1,0
9720025,972,6,13,1,0,27,6,0,0
9720026,972,7,7,0,2,60,9,0,1
9720027,972,8,12,0,0,19,5,0,1
9720028,972,6,23,0,4,70,18,0,1
9720029,972,6,8,0,0,22,3,0,0
9720031,972,3,12,0,4,17,1,0,1
9720032,972,10,8,0,2,27,5,0,1
9720033,972,9,37,0,3,71,19,2,2
9720034,972,1,8,0,0,18,5,0,0
9720035,972,1,2,0,0,6,2,0,0
9720037,972,15,31,0,1,109,14,1,2
9720038,972,14,15,0,2,81,12,0,0
9720039,972,1,6,0,1,29,4,0,1
9720040,972,17,24,0,2,26,12,0,0
9720041,972,40,55,0,8,121,33,0,1
9720042,972,34,67,1,9,235,36,2,0
9720044,972,22,26,0,4,67,10,0,1
9720045,972,10,16,0,2,38,20,0,3
9730001,973,0,1,0,0,4,0,0,1
9730002,973,2,8,0,0,42,3,0,0
9730003,973,0,0,0,0,0,0,0,0
