Département,Circo,Id Circo,FN investi,PS investi,En Marche investi,UDI investi,LR investi,EE-LV investi,Sortant,Première élection
10,1,10_1,,Emmanuel PROVIN,,,Nicolas Dhuicq,,Nicolas Dhuicq,2007
12,2,12_2,,Bertrand CAVALERIE,,,André At,Guy Pezet,Marie-Lou Marcel,2007
44,4,44_4,,Dominique RAIMBOURG,,Isabelle Merand,,François Nicolas,Dominique Raimbourg,2001
60,1,60_1,Claire MARAIS-BEUIL,,,,Olivier Dassault,Michel Fontaine,Olivier Dassault,1988
91,8,91_8,Benjamin BOUCHER,Faten BEN AHMED,,Irvin Bida,,,Nicolas Dupont-Aignan,1997
57,1,57_1,Laurence BURG,Aurélie FILIPETTI,,Marie Tribout,,Philippe Casin,Aurélie Filippetti,2007
93,6,93_6,Line VALLÈS,Elisabeth GUIGOU,Alexandre Aïdara,Karine Franclet,,Nadia Azoug,Élisabeth Guigou,1997
60,5,60_5,François GACHIGNARD,,,,Lucien Degauchy,Luc Blanchard,Lucien Degauchy,1993
90,1,90_1,,,,,Ian Boucard,,Damien Meslot,2002
46,1,46_1,Emmanuel CRENNE,,,Michel Roumegoux,Aurélien Pradié,,Dominique Orliac,2007
67,8,67_8,Gérard JANUS,,,,Frédéric Reiss,Jean-Louis Piquard,Frédéric Reiss,2002
39,2,39_2,,,,,Marie-Christine Dalloz,,Marie-Christine Dalloz,2007
26,3,26_3,,Pascale ROCHAS,,,Hervé Mariton,,Hervé Mariton,1993
17,3,17_3,,Françoise MESNARD,,Henriette Diadio Sylva,Frédéric Neveu,Bernard PINSON,Catherine Quéré,2007
06,5,06_5,,Chaama GRAILLAT,,,Marine Brenier,,Christian Estrosi,1988
57,9,57_9,Lionel BIEDER,Brigitte VAISSE,,Patrick Weiten,,Guy Harau,Patrick Weiten,2016
09,1,09_1,Laurence LEFORT,Martine ESTEBAN,,Cyril Sejalon,Aude Resseguier,Florence Cortes,Frédérique Massat,2007
57,5,57_5,Pascal Jenft,Angèle DUFFLO,,,Céleste Lett,,Céleste Lett,2002
94,1,94_1,Thierry Devige,,,,Sylvain Berrios,Catherine Monié,Henri Plagnol,1997
64,4,64_4,Gilles HUSTAIX,,,,Marc Oxibar,Alice Leiciagueçahar,Jean Lassalle,2002
18,1,18_1,,Céline BEZOUI,,Laurent Sorcelle,Wladimir d'Ormesson,,Yves Fromion,1997
44,5,44_5,David BOISDRON,Michel MENARD,,Frédéric Maindron,Isabelle Grousseau,Franco Fedele,Michel Ménard,2007
13,3,13_3,,Anne DI MARINO,,Noro Hissan Hamady,Richard Miron,,Sylvie Andrieux,1997
74,5,74_5,Anne-Françoise Abadie Parisi,Jean-Baptiste BAUD,,,Marc Francina,,Marc Francina,2003
83,3,83_3,Aline RENCK-GUIGUE,William SEEMULLER,,,Jean-Louis Masson,,Jean-Pierre Giran,1997
03,3,03_3,,,Mireille Robert,Stéphane Gauthier,Gabriel Maquin,,Gérard Charasse,1997
12,3,12_3,,,,,Arnaud Viala,,Alain Marc,2007
47,2,47_2,Hélène PAIN,Matthias FEKL,,,Émilien Roso,Mathilde Bœuf,Régine Povéda,2014
59,13,59_13,Philippe EYMERY,,,,,Virginie Henocq,Christian Hutin,2007
17,4,17_4,Isabelle TEXIER,Fabienne DUGAS RAVENEAU,,,Loïc Girard,Laurence MARCILLAUD,Dominique Bussereau,1986
95,2,95_2,Stéphane CAPDET,Ayda HADIZADEH,,,Axel Poniatowski,Marc Denis,Axel Poniatowski,2002
03,1,03_1,Michèle CIUCH,Magali ALEXANDRE,,André Bidaud,Pierre-André Perissol,Daniele Roury,Guy Chambefort,2007
27,1,27_1,,,,,Bruno Le Maire,Laetitia Sanchez,Bruno Le Maire,2007
62,5,62_5,Antoine GOLLIOT,Frédéric CUVILLIER,,Jean-Pierre Pont,Fabienne Chochois,Cindy Pacques,Frédéric Cuvillier,2007
75,4,75_4,Eve FROGER,Fabrice DASSIE,,,Brigitte Kuster,,Bernard Debré,1986
92,13,92_13,Michel GEORGET,Benjamin LANIER,,,Georges Siffredi,Denis Delrieu,Patrick Devedjian,1986
75,15,75_15,Christophe VERSINI,George PAU LANGEVIN,,Céline Trouillot,Atanase Périfan,,George Pau-Langevin,2007
14,1,14_1,,Eric VEVE,,Sonia de la Provoté,,Rudy L'Orphelin,Philippe Duron,1997
78,10,78_10,François LE HOT,Jean-Claude HUSSON,,,Jean-Frédéric Poisson,David Jutier,Jean-Frédéric Poisson,2007
86,2,86_2,Pascale Bordin,Patricia PERSICO,,Philippe Palisse,Olivier Chartier,Yohan MAGNERON,Catherine Coutelle,2007
65,1,65_1,Geneviève COMONT,Jean GALVANY,,Gilles Craspay,,,Jean Glavany,1993
93,9,93_9,Huguette FATNA,,,Sonia Alout,,Dominique Busson,Claude Bartolone,1981
94,9,94_9,François PARADOL,Luc CARVOUNAS,,Jean-Luc Cadeddu,Bernadette Herault,Aminata Niakate,René Rouquet,1981
06,3,06_3,,Pierre-Marie CARLIER,,Rudy Salles,,Juliette Chesnel,Rudy Salles,1988
51,1,51_1,Sandrine VIGNOT,Alexandre TUNC,,,Arnaud Robinet,,Arnaud Robinet,2008
42,4,42_4,Raphaëlle Jeanson,Laurence JUBAN,,,Dino Cinieri,,Dino Cinieri,2002
21,4,21_4,,,,Charles Barrière,,,François Sauvadet,1993
30,5,30_5,,Nelly FRONTANAU,,Ludovic Bouix,Léa Boyer,Benjamin Deceuninck,William Dumas,2004
12,1,12_1,,Sarah VIDAL,,,Yves Censi,,Yves Censi,2002
54,3,54_3,Céline DOLCEMASCOLO,Christian ECKERT,,Véronique Guillotin,,Mikaël Agopiantz,Christian Eckert,2007
17,5,17_5,,Mickaël VALLET,,,Didier Quentin,Stéphanie MUZARD,Didier Quentin,1997
79,1,79_1,Martine GENDRY,Elodie TRUONG,,,,,Geneviève Gaillard,1997
45,2,45_2,Nadine BOISGERAULT,,,,Serge Grouard,,Serge Grouard,2002
13,6,13_6,,,,,Guy Teissier,Hervé Menchon,Guy Teissier,1988
44,7,44_7,Doris NOËL,Anne BOYE,,,Franck Louvrier,Yves Coquard,Christophe Priou,2002
54,6,54_6,Cédric Marsolle,Julien VAILLANT,,Jonathan Richier,Lise Roseleur,Patrick Baranger,Jean-Yves Le Déaut,1986
72,2,72_2,Pascal NICOT,Marietta KARAMANLI,,Samuel Chevalier,,Elisabeth Sesma,Marietta Karamanli,2007
69,5,69_5,Cécile BÈNE,,,,Philippe Cochet,Jérôme Trotignon,Philippe Cochet,2002
88,3,88_3,Marina Do Santos,Stessy SPEISSMANN,,,Patrick Lagarde,Christine L'Heureux,François Vannson,1993
39,1,39_1,Jean-Paul ECARD,Marc-Henri DUVERNET,,,Cyrille Brero,Brigitte Monnet,Jacques Pélissard,1993
29,4,29_4,,Gwenegan BUI,,Nicolas Floch,Maël de Calan,Christine Prigent,Marylise Lebranchu,1997
13,16,13_16,Valérie LAUPIES,Nora MEBAREK,,Murielle Boualem,Marie-Pierre Callet,Mathieu Foucaut,Michel Vauzelle,1986
75,18,75_18,Michelle THIMOTTE,Myriam EL KHOMRI,,Maxence Ancel,Pierre-Yves Bournazel,,Christophe Caresche,1997
42,1,42_1,Philippe Clause,Régis JUANICO,,Gilles Artigues,Robert Karulak,Dominique Pigeon,Régis Juanico,2007
42,5,42_5,Sarah Brosset,Brigitte DUMOULIN,,,Clothilde Robin,Alain Valentin,Yves Nicolin,1993
971,1,971_1,,,,Jessica Compper,Alix Huygues-Beaufond,,Éric Jalton,2002
63,1,63_1,Anne BISCOS,Cécile AUDET,,Delphine Perry,Jean-Pierre Brenas,Nicolas Bonnet,Odile Saugues,1997
27,5,27_5,Vincent TAILLIEU,Martine SEGUELA,,,Alexandre Rassaërt,,Franck Gilard,2002
13,2,13_2,Caroline SICARD,Annie LEVY-MOZZICONACCI,,,Dominique Tian,Christine Juste,Dominique Tian,2002
974,5,974_5,Marie-Luce BRASIER-CLAIN,Philippe LECONSTANT,,Jean Paul Virapoulle,Daniel Gonthier,,Jean-Claude Fruteau,2007
88,1,88_1,Sébastien HUMBERT,Martine FRANCOIS,,,Stéphane Viry,Gilles Bilot,Michel Heinrich,2002
81,1,81_1,Frédéric Cabrolier,Patrice BEDIER,,Philippe Folliot,,Pascal Pragnère,Philippe Folliot,2002
10,3,10_3,,David BLANCHON,,,Gérard Menuel,,François Baroin,1993
14,3,14_3,,Clotilde VALTER,,Clara de Waele Canouet,Sébastien Leclerc,Angélique Havard,Guy Bailliart,2015
75,8,75_8,Annie VIGUIER,Sandrine MAZETIER,Laetitia Avia,Ophélie Rota,Valérie Montandon,Emmanuelle Pierre-Marie,Sandrine Mazetier,2007
974,4,974_4,Johan DELPLANQUE,,,,,Danon Odayen,Patrick Lebreton,2007
11,3,11_3,,André VIOLA,,,Catherine Vergé,Stéphane Linou,Jean-Paul Dupré,1997
44,3,44_3,,Karine DANIEL,,François Fedini,Rozenn Hamel,Judith Leray,Jean-Marc Ayrault,1986
02,2,02_2,Sylvie SAILLARD-MEUNIER,,,,Julien Dive,Michel Magniez,Julien Dive,2016
64,1,64_1,Claudie Cheyroux,Jérôme MARBOT,,Thibault Chenevière,Pauline Roy,Eurydice Bled,Martine Lignières-Cassou,1997
91,6,91_6,Nathalie PAULIN,Jérôme GUEDJ,,Françoise Couasse,,,François Lamy,1997
971,2,971_2,Stéphan VIENNET,,,Marie Jeanne Quinol,Laurent Bernier,,Gabrielle Louis-Carabin,2002
77,4,77_4,Pierre-Charles CHERRIER,Olivier HUSSON,,,Christian Jacob,,Christian Jacob,1995
54,4,54_4,Dominique BILDE,,,,Jacques Lamblin,Marie-Neige Houchard,Jacques Lamblin,2007
79,3,79_3,Lucie CHAUMERON,Marc BONNEAU,,,Véronique Schaaf-Gauthier,Armelle BOIVIN,Jean Grellier,2007
78,12,78_12,Jean-Luc GALLAIS,Marie-Noelle BAS,,,David Douillet,Patricia Charton,David Douillet,2009
64,3,64_3,Lucinda CARVALHO,David HABIB,,Bernard Dupont,,Alexandre Voisin,David Habib,2002
23,1,23_1,Martial MAUME,Michel VERGNIER,Jean-Baptiste Moreau,Christelle Lapouge,,Nicolas Aubineau,Michel Vergnier,1997
42,2,42_2,Pascal Arrighi,,,Nicole Aubourdy,Alexandra Custodio,Olivier Longeon,Jean-Louis Gagnaire,2007
75,7,75_7,Isabelle COCHARD,Patrick BLOCHE,,Sabrina Scolar,Vincent Roger,Corine Faugeron,Patrick Bloche,1997
69,12,69_12,Muriel Coativy,David CHIZAT,,,Jérôme Moroge,Hélène Dromain,Michel Terrot,1986
83,2,83_2,Rachel ROUSSEL,Cécile MUSCHOTTI,,,Philippe Vitel,,Philippe Vitel,2002
01,1,01_1,Jérôme Buisson,,,,Xavier Breton,,Xavier Breton,2007
59,5,59_5,Victor CATTEAU,Aude LEDUC,,,Sébastien Huyghe,Yannick Brohard,Sébastien Huyghe,2002
87,2,87_2,Joëlle Crepet,Annick MORIZIO,,Vincent Léonie,Dominique Sauget,,Daniel Boisserie,1997
38,2,38_2,,Pierre VERRI,,Chantal Feracioli,Magalie Vicente,,Michel Issindou,2007
77,5,77_5,Joffrey BOLLÉE,,,,Franck Riester,,Franck Riester,2007
76,5,76_5,Bénédicte LE MOËL,Christophe BOUILLON,,Philippe GRIGY,Jean Delalandre,,Christophe Bouillon,2007
06,8,06_8,Anne KESSLER,,,,Bernard Brochand,,Bernard Brochand,2001
02,2,02_2,Sylvie SAILLARD-MEUNIER,,,,Julien Dive,Michel Magniez,Xavier Bertrand,2002
45,5,45_5,Jeanne BEAULIER,Thierry STROMBONI,,,Marianne Dubois,,Marianne Dubois,2009
29,7,29_7,,Florence CROM,,Christophe Roumier,Didier Guillon,Jean Cathala,Annick Le Loch,2007
01,3,01_3,Gaëtan Noblet,Géraldine SACCHI,,,Stéphanie Pernod-Beaudon,Jean Mercier,Étienne Blanc,2002
91,4,91_4,Franck BEELDENS-DA SILVA,Ophélie GUIN,,,Sandrine Gelot-Rateau,Claire Carré,Nathalie Kosciusko-Morizet,2002
28,2,28_2,,Nadia FAVERIS,Claire Tassadit Houd,,Olivier Marleix,Youssef Lamrini,Olivier Marleix,2012
95,4,95_4,Olivia NALPAS,Marie-José BEAULANDE,,Emmanuel Landreau,Claude Bodin,Emmanuel Rodriguez,Gérard Sebaoun,2012
29,6,29_6,,,,,Gaëlle Nicolas,Nathanaël Legeard,Richard Ferrand,2012
76,8,76_8,Damien Lenoir,Catherine TROALLIC,,Valérie Egloff,Sébastien Tasserie,Joséphine Landormi,Catherine Troallic,2012
86,4,86_4,Alain Verdin,,,Véronique Abelin,,Catherine BARRAULT,Véronique Massonneau,2012
25,1,25_1,,Barbara ROMAGNAN,,Annick Jacquemet,Françoise Branget,,Barbara Romagnan,2012
69,4,69_4,Edith GODECKE,,,,Dominique Nachury,Véronique Dubois-Bertrand,Dominique Nachury,2012
66,1,66_1,Claudine FUENTES,,,Fabrice Villard,Daniel Mach,Jean-Marc Panis,Jacques Cresta,2012
69,14,69_14,Damien MONCHAU,Yves BLEIN,,Maurice Iacovella,,Zafer Girisit,Yves Blein,2012
71,4,71_4,Nathalie Szych,Cécile UNTERMAIER,,,Stéphane Gros,Régine Saura-Lacour,Cécile Untermaier,2012
987,3,987_3,,,,,,,Jean-Paul Tuaiva,2012
999,1,999_1,Denis FRANCESKIN,Yan CHANTREL,,,,Arnaud Boucheny,Corinne Narassiguin,2012
59,19,59_19,Sébastien CHENU,,,Sophie Granato,Olivier Capron,Jeanine Lecaille,Anne-Lise Dufour-Tonini,2012
75,6,75_6,Guy DEBALLE,,,Hélène Hautval,,Cécile Duflot,Cécile Duflot,2012
01,5,01_5,Pénélope CHALON,,,,Damien Abad,,Damien Abad,2012
988,1,988_1,,,,,Bernard Deladrière,,Sonia Lagarde,2012
06,2,06_2,Jérôme Cochet,Xavier GARCIA,,,Charles-Ange Ginesy,,Charles-Ange Ginesy,2005
30,1,30_1,,Françoise DUMAS,,Yvan Lachaud / Thierry Procida,,Dominique Andrieu Bonnet,Françoise Dumas,2012
999,3,999_3,Tony Thommes,Axelle LEMAIRE,,Patricia Connell,Laurence Azzena-Gougeon,,Axelle Lemaire,2012
92,11,92_11,Julia CARRASCO,Julie SOMMARUGA,,Philippe Parain,,Carmélina De Pablo,Julie Sommaruga,2012
22,1,22_1,Pierre-Yves LOPIN,Michel LESAGE,,Marie Claire Diouron,Sylvie Grondin,,Michel Lesage,2012
57,6,57_6,Florian PHILIPPOT,Jean-Christophe KINNEL,,,Pierre Lang,Chantal Feller,Laurent Kalinowski,2012
83,7,83_7,Frédéric Boccaletti,Jimmy COSTE,,,Jean-Sébastien Vialatte,Denise Reverdito,Jean-Sébastien Vialatte,2002
34,6,34_6,,,,,Elie Aboud,,Dolores Roqué,2012
974,7,974_7,Corinne SUZANNE,Virginie GOBALOU,,,Sandra Sinimalé,Mélissa Cousin,Thierry Robert,2012
77,8,77_8,Aurélie COURNET,Eduardo RIHAN CYPEL,Jean-Michel Fauvergue,,Chantal Brunel,,Eduardo Rihan Cypel,2012
80,1,80_1,Franck de LAPERSONNE,Pascale BOISTARD,,Salwa Barjoud,Stéphane Decayeux,,Pascale Boistard,2012
61,2,61_2,Francine LAVANRY,Serge DELAVALLEE,,,Véronique Louwagie,Jean-Paul Daveau,Véronique Louwagie,2012
72,3,72_3,Pascal GANNAT,Nicolas CHAUVIN,,William Stein,Béatrice Pavy,Thierry Pradier,Guy-Michel Chauveau,1981
91,10,91_10,Lucie DEDI,Malek BOUTIH,,Marianne Duranton,,Isabelle Catrain,Malek Boutih,2012
11,2,11_2,Jean-François Daraud,Marie-Hélène FABRE,,François Brebant,Michel Py,Marie-Laure Arripe,Marie-Hélène Fabre,2012
14,3,14_3,,Clotilde VALTER,,Clara de Waele Canouet,Sébastien Leclerc,Angélique Havard,Clotilde Valter,2012
987,2,987_2,,,,,,,Jonas Tahuaitu,2012
26,4,26_4,,Pierre JOUVET,,,Emmanuelle Anthoine,,Nathalie Nieson,2012
94,6,94_6,Gorete DE FREITAS,,,Gildas Lecoq,Patrick Beaudouin,Laurence Abeille,Laurence Abeille,2012
92,6,92_6,Emmanuelle CUIGNET,Marie BRANNENS,,,,Vincent Dubail,Jean-Christophe Fromantin,2012
92,2,92_2,Aurélie LE GOURLAY,Chantal BARTHELEMY RUIZ,,Claire Mayoly Florentin,Marie-Do Aeschlimann,Laurent Guillard,Sébastien Pietrasanta,2012
93,7,93_7,Sébastien JOLIVET,Razzy HAMMADI,,Françoise Vavoulis,Manon Laporte,Pierre Serne,Razzy Hammadi,2012
999,9,999_9,,Didier LE BRET,,Pascal Capdevielle,Erwan Davoux,Yann Roustan,Pouria Amirshahi,2012
78,8,78_8,François SIMEONI,Françoise DESCAMPS CROSNIER,,,,Stéphane Bernard,Françoise Descamps-Crosnier,2012
53,2,53_2,Sylviane DEGÉ,,,,Guillaume Chevrollier,Adèle Gourvil,Guillaume Chevrollier,2012
35,2,35_2,,Gaëlle ANDRO,,Laurence Maillart Méhaignerie,Bertrand Plouvier,,Nathalie Appéré,2012
34,9,34_9,,,,Cécile Picq,Stephan Rossignol,Bertrand Coisne,Patrick Vignal,2012
33,9,33_9,,Gilles SAVARY,,Béatrice Canada,Michel Dufranc,Dominique Baude,Gilles Savary,2012
02,4,02_4,Jean MESSIHA,Marie Françoise BECHTEL,,Dominique Ignasziak,Isabelle Létrillart,Valérie Dervin Froidefont,Marie-Françoise Bechtel,2012
93,12,93_12,Jordan BARDELLA,,,Ludovic Toro,Xavier Lemoine,Ginette Contrastin,Pascal Popelin,2012
59,10,59_10,Virginie ROSEZ,Yasmina CHIGRI KERNAB,,,Vincent Ledoux,Olivier Descamps,Gérald Darmanin,2012
19,1,19_1,,Bernard COMBES,,,Françoise Beziat,Murriel Padovani-Lorioux,Alain Ballay,2016
67,9,67_9,Laurent Gnaedig,,,,Claude Sturni,Mélanie Goerke,Claude Sturni,2012
66,3,66_3,Sandrine DOGOR,Ségolène NEUVILLE,,Nathalie Beaufils,Danièle Pages,David Berrue,Ségolène Neuville,2012
81,3,81_3,Virginie CALLEJON,Linda GOURJADE,,Marie Guiraud,Bernard Carayon,Stéphane Delorge,Linda Gourjade,2012
999,7,999_7,Jean-Pierre Hottinger,Pierre-Yves LE BORGN',,Benoit Mayrand,Philippe Gustin,Anna Deparnay-Grunenberg,Pierre-Yves Le Borgn',2012
78,2,78_2,Yasmine BENZELMAT,Amroze ADJUWARD,,,Pascal Thevenot,Tanguy Ruellan,Valérie Pecresse,2002
69,1,69_1,Tiffany JONCOUR,,,Djida Tazdait,Anne Lorne,Bertrand Artigny,Thierry Braillard,2012
88,4,88_4,Jordan Grosse-Cruciani,Christian FRANQUEVILLE,,Jocelyne Allane,,Florence Lamaze,Christian Franqueville,1997
49,6,49_6,Bernadette de LA BOURDONNAYE,Serge BARDY,,,André Martin,,Serge Bardy,2012
75,5,75_5,Marie FONTAINE,Seybah DAGOMA,,Lise Henric,Déborah Pawlik,Julien Bayou,Seybah Dagoma,2012
66,4,66_4,Stéphane MASSANELL,Alexandre Reynal,,Laurence Gayte,Jacqueline Irles,Franck Huette,Pierre Aylagas,2012
60,3,60_3,Philippe MURER,Johann LUCAS,,,Frederique Leblanc,Maïtane Sebastians,Michel Françaix,1988
33,6,33_6,,Marie RECALDE,,Rémi Cocuelle,,Dany Neveu,Marie Récalde,2012
62,12,62_12,,Nicolas BAYS,,,Caroline Meloni,Daniel Ludwikowski,Nicolas Bays,2012
64,5,64_5,Jean-Michel Iratchet,Colette CAPDEVIELLE,,Yves Ugalde,Sylvie Durruty,Pathias Thibault,Colette Capdevielle,2012
05,1,05_1,,Karine BERGER,,,Catherine Asso,,Karine Berger,2012
13,10,13_10,,,,Bruno Genzana,Richard Mallié,,François-Michel Lambert,2012
34,3,34_3,,Fanny DOMBRE COSTE,,Catherine Cecchi,Catherine Dardé,,Fanny Dombre Coste,2012
64,2,64_2,Joseph DAMOUR,Nathalie CHABANNE,,Séverine Server,Eric Saubatte,Hélèna Timmer Blanchard,Nathalie Chabanne,2012
91,9,91_9,Thiebauld VEGA,Romain COLAS,,Faten Hidri,Véronique Carantois,Jean-Marc Pasquet,Thierry Mandon,1988
30,3,30_3,,Catherine EYSSERIC,,Patricia Garnero,Muriel Dherbecourt,Marie-Pierre Mercier,Patrice Prat,2012
56,4,56_4,Agnès RICHARD,,,Yves Josse,Marie-Hélène Herry,Nathalie Landriau-Berhault,Paul Molac,2012
56,3,56_3,Sylvie BAUD,Marie-Christine LE MOUEL,,Benoît Rolland,Soizic Perrault,Joël Labbé,Jean-Pierre Le Roch,2012
31,10,31_10,,Kader ARIF,,Dominique Faure,Arnaud Lafon,Henri Arevalo,Kader Arif,2012
87,3,87_3,Vincent GÉRARD,Catherine BEAUBATIE,,,Guillaume Guerin,,Catherine Beaubatie,2012
80,3,80_3,Patricia CHAGNON,,,Michèle Bigot,Emmanuel Maquet,,Jean-Claude Buisine,2012
17,1,17_1,,,,Jean Luc Algay,Bruno Leal,Jean-Marc SOUBESTE,Olivier Falorni,2012
56,1,56_1,Bertrand IRAGNE,Hervé PELLOIS,,Odile Monnet,François Goulard,Cécile Franchet,Hervé Pellois,2012
95,5,95_5,Pierre RENUCCI,Philippe DOUCET,,Philippe Métézeau,Gilles Savry,Pascal Bertolini,Philippe Doucet,2012
91,7,91_7,Audrey GUIBERT,,,Jean-Marie Villain,Robin Reda,Eva Sas,Eva Sas,2012
27,2,27_2,,,,,Jean-Paul Legendre,,Jean-Louis Destans,2012
38,7,38_7,,,,,Jean-Pierre Barbier,Nadine Reux,Jean-Pierre Barbier,2012
62,1,62_1,Agnès CAUDRON,Jean-Jacques COTTEL,,Evelyne Dromar,Michel Petit,Sylvie Joniaux,Jean-Jacques Cottel,2012
72,4,72_4,,Stéphane LE FOLL,,Franck Breteau,Emmanuel Franco,Alexis Braud,Stéphane Le Foll,2012
987,1,987_1,Eric MINARDI,,,,,,Édouard Fritch,1986
29,3,29_3,,Jean-Luc BLEUNVEN,,Yves Dubuis,Marguerite Lamour,,Jean-Luc Bleunven,2012
45,6,45_6,Myriam BACHIR,Valérie CORRE,,Alexandrine Leclerc,,,Valérie Corre,2012
47,2,47_2,Hélène PAIN,Matthias FEKL,,,Émilien Roso,Mathilde Bœuf,Matthias Fekl,2012
36,2,36_2,,Isabelle BRUNEAU,,Isabelle Jacono,Nicolas Forissier,,Isabelle Bruneau,2012
972,2,972_2,,,,,,,Bruno Nestor Azerot,2012
62,9,62_9,Jacques DELAIRE,,,Olivier Gacquerre,Pierre-Emmanuel Gibson,Marie-Andrée Queste,Stéphane Saint-André,2012
54,5,54_5,Billy WINKENS,Dominique POTIER,,Aline Vaissier Catarame,Philippe Morenvillier,,Dominique Potier,2012
18,2,18_2,,Agnès SINSOULIER,,,Sophie Bertrand,,Nicolas Sansu,2012
92,9,92_9,Nina SMARANDI,,,,Thierry Solere,,Thierry Solère,2012
85,1,85_1,Catherine ROY,Cécile DREURE,,,Alain Leboeuf,Guy Batiot,Alain Leboeuf,2012
986,1,986_1,,,,,,,David Vergé,2012
2A,1,2A_1,Francis Nadizi,,,,Jean-Jacques Ferrara,,Laurent Marcangeli,2012
50,3,50_3,Carmen MASSON,,,Christiane Vulvert,Jean-Manuel Cousin,,Stéphane Travert,2012
07,3,07_3,Thierry Arsac,Sabine BUIS,,Amandine Mollier,Fabrice Brun,,Sabine Buis,2012
972,4,972_4,,,,Philippe Petit,Sylvia Saïthsoothane,,Jean-Philippe Nilor,2012
64,6,64_6,Sylviane BUTTIGIEG,Sylviane ALAUX,,Stéphane Alvarez,Maïder Arosteguy,Sophie Bussière,Sylviane Alaux,2012
77,2,77_2,Marie Garcia,,,,Valérie Lacroute,,Valérie Lacroute,2012
08,2,08_2,,Christophe LEONARD,,Mario Iglesias,Pierre Cordier,,Christophe Léonard,2012
29,5,29_5,,Chantal GUITTET RAISON,,,,,Chantal Guittet,2012
974,3,974_3,Jean-Hugues LEBIAN,Jean-Jacques VLODY,,,Nathalie Bassire,Jean-Alain Cadet,Jean Jacques Vlody,2012
89,2,89_2,Edwige JACQUET,,,André Villiers,Xavier Courtois,,Jean-Yves Caullet,1999
999,2,999_2,Jean-Marc Millet,,,Charles Henry Chenut,Pascal Drouhaud,Sergio Coronado,Sergio Coronado,2012
21,1,21_1,,Sladana ZIVKOVIC,,Ludovic Bonnot,Anne Erschens,Olivier Muller,Laurent Grandguillaume,2012
25,2,25_2,,,,Nathalie Bertin,Ludovic Fagaut,,Éric Alauzet,2012
977,1,977_1,,,,,Daniel Gibbs,,Daniel Gibbes,2012
971,3,971_3,Jean-Pierre MERCADAL,,,,Sylvie Chammougom-Anno,,Ary Chalus,2012
67,2,67_2,Julia Abraham,Philippe BIES,,Pascale Jurdan-Pfeiffer,Jean-Philippe Maurer,,Philippe Bies,2012
38,8,38_8,,Erwann BINET,,Martine Faîta,Maryline Silvestre,Eric Berger,Erwann Binet,2012
73,3,73_3,Marie DAUCHY,Philippe VIVIER,,Pierre Marie Charvoz,Emilie Bonnivard,Béatrice Fontaine,Béatrice Santais,2012
57,7,57_7,Kevin PFEFFER,Paola ZANETTI,,André Wojciechowski,Carole Piette,Martine Jung,Paola Zanetti,2012
35,7,35_7,,Alexandra THIERRY,,,Gilles Lurton,,Gilles Lurton,2012
13,14,13_14,Nathalie CHEVILLARD,Jean-David CIOT,,Dominique Caton,Stéphane Paoli,,Jean-David Ciot,2012
21,3,21_3,,Anne DILLENSEGER,,Virginie Voisin-Vairelles,Pascale Caravel-Fauguet,Michel Procureur,Kheira Bouziane-Laroussi,2012
43,2,43_2,,Josiane MIALON,,,Jean-Pierre Vigier,,Jean-Pierre Vigier,2012
91,5,91_5,Milvia Mangano,Maud OLIVIER,,Jean-François Vigier,Laure Darcos,Didier Missenard,Maud Olivier,2012
25,5,25_5,,,,,Annie Genevard,,Annie Genevard,2012
59,15,59_15,Christine ENGRAND,Michel LABITTE,,Bruno Ficheux,Jean-Pierre Bataille,,Jean-Pierre Allossery,2012
30,6,30_6,,,,Corinne Ponce Casanova,Richard Flandin,Sibylle Jannekeyn,Christophe Cavard,2012
67,6,67_6,Hombeline DU PARC,,,,Laurent Furst,,Laurent Furst,2012
77,11,77_11,Jean-Marie LAUNAY,Olivier FAURE,,Hervé Kiteba Simo,Cathy Bissonnier,,Olivier Faure,2012
19,1,19_1,,Bernard COMBES,,,Françoise Beziat,Murriel Padovani-Lorioux,Sophie Dessus,2012
71,3,71_3,Quentin BIJARD,Philippe BAUMEL,,Céline Darphin,Catherine Amiot,Pierre-Etienne Graffard,Philippe Baumel,2012
988,2,988_2,,,,,,,Philippe Gomes,2012
95,9,95_9,Mikael SALA,Luc BROUSSY,,Adeline Roldao,Anthony Arciero,Dominique Dufumier,Jean-Pierre Blazy,1997
77,10,77_10,Véronique Fornilli Rata,Juliette MEADEL,,,,,Emeric Bréhier,2012
93,2,93_2,Estelle ARNAL,Mathieu HANOTIN,,Yamina KHELIFI,Hayette Hamidi,Laurent Servières,Mathieu Hanotin,2012
76,3,76_3,Guillaume PENNELLE,Luce PANE,,Hélène Van de Walle,Jonas Haddad,,Luce Pane,2012
45,3,45_3,Charles de Gevigney,,,,Claude de Ganay,,Claude de Ganay,2012
65,2,65_2,Olivier Monteil,,,Stéphanie Lacoste,Clément Menet,,Jeanine Dubié,2012
35,5,35_5,,Stéphane LENFANT,,,Isabelle Le Callennec,,Isabelle Le Callennec,2012
82,1,82_1,Thierry VIALLON,Valérie RABAULT,,Patrick Lenfant,Brigitte Bareges,Guillaume Arnaud,Valérie Rabault,2012
34,1,34_1,,,,Joseph Francis,,Jean-Louis Roumegas,Jean-Louis Roumegas,2012
