Ministère,Année,Dpt. d'origine,Bénéficiaire,Objet,Objectif,Subvention
Sports,2013,76,ASSOCIATION JURI TENNIS TABLE,Remplacement d'un fauteuil,soutien au sport handicap,1500
Sports,2016,13,Entente UGA ARDIZ,,,1500
Sports,2016,16,ETOILE SPORTIVE DE LINARS,Tournoi de football,soutien développement de la pratique sportive,1000
Sports,2015,42,ASSOCIATION TERRITOIRES RURAUX JEUNESSE ET SPORTS,1er tournoi européen handi supporters,soutien au développement de la pratique sportive,1000
Sports,2014,45,ASSOCIATION ANIM'AFOND,Participation 17ème édition champ  monde de moncycle,soutien au dlvp  pratique sportive,1000
Sports,2015,56,LA LORIENTAISE,6ème édition course la Lorientaise,soutien au développement de la pratique sportive,1000
Sports,2015,59,SPORTING CLUB BASKET BOURBOURG,25ème mondial de mini basket,soutien au développement de la pratique sportive,1000
Sports,2016,62,ASSOCIATION SPORTIVE CENTER TRAINING,participation des sportifs aux championnats de savate boxe française,soutien au développement de la pratique sportive,1000
Sports,2015,94,UNION SPORTIVE VILLEJUIF FOOTBALL,"Opération ""le football lutte contre le cancer)",soutien au sport santé,1000
Sports,2015,31,COMITE BOULISTE DEPARTEMENTAL,soutien au centre régional d'entraînement et de formation,soutien au développement de la pratique sportive,800
Sports,2013,72,CAP LE MANS,Course à pied pour le Soutien maladie de Mafran,soutien au développement de la pratique sportive,500
